"DEP1","Disability in regulation of Expression of genes involved in Phospholipid biosynthesis","1218","FUN54|Rpd3L histone deacetylase complex subunit DEP1","chrI","Component of the Rpd3L histone deacetylase complex; required for diauxic shift-induced histone H2B deposition onto rDNA genes; transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation"
"SYN8","SYNtaxin","768","SLT2|syntaxin|UIP2","chrI","Endosomal SNARE related to mammalian syntaxin 8"
"NTG1","eNdonuclease Three-like Glycosylase","1200","bifunctional N-glycosylase/AP lyase NTG1|FUN33|ogg2|SCR1","chrI","DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase; involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress; required for maintaining mitochondrial genome integrity; NTG1 has a paralog, NTG2, that arose from the whole genome duplication"
"TPD3","tRNA Processing Deficient","1908","FUN32|protein phosphatase 2A structural subunit TPD3","chrI","Regulatory subunit A of the heterotrimeric PP2A complex; the heterotrimeric protein phosphatase 2A (PP2A) complex also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and transcription by RNA polymerase III"
"PSK1","Pas domain-containing Serine/threonine protein Kinase","4071","FUN31|serine/threonine protein kinase PSK1","chrI","PAS domain-containing serine/threonine protein kinase; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status; PSK1 has a paralog, PSK2, that arose from the whole genome duplication"
"LDS1","Lipid Droplets in Sporulation","978","","chrI","Protein Involved in spore wall assembly; localizes to lipid droplets found on or outside of the prospore membrane; shares similarity with Lds2p and Rrt8p, and a strain mutant for all 3 genes exhibits reduced dityrosine fluorescence relative to the single mutants"
"FUN30","Function Unknown Now","3396","DNA-dependent ATPase FUN30","chrI","Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate"
"ATS1","Alpha Tubulin Suppressor","1002","FUN28|KTI13","chrI","Protein required for modification of wobble nucleosides in tRNA; acts with Elongator complex, Kti11p, and Kti12p; has a potential role in regulatory interactions between microtubules and the cell cycle; forms a stable heterodimer with Kti11p"
"CCR4","Carbon Catabolite Repression","2514","CCR4-NOT core exoribonuclease subunit CCR4|FUN27|NUT21","chrI","Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening"
"FUN26","Function Unknown Now","1554","nucleoside transmembrane transporter FUN26","chrI","High affinity, broad selectivity, nucleoside/nucleobase transporter; vacuolar membrane localized transporter which may regulate the balance of nicotinamide riboside (NmR) levels between the cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis; equilibrative nucleoside transporter (ENT) family member"
"PMT2","Protein O-MannosylTransferase","2280","dolichyl-phosphate-mannose-protein mannosyltransferase PMT2|FUN25","chrI","Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; acts in a complex with Pmt1p, can instead interact with Pmt5p; antifungal drug target; PMT2 has a paralog, PMT3, that arose from the whole genome duplication"
"LTE1","Low Temperature Essential","4308","mitotic regulator LTE1|MSI2","chrI","Protein similar to GDP/GTP exchange factors; without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures"
"MAK16","MAintenance of Killer","921","ribosome biosynthesis protein MAK16","chrI","Essential nuclear protein; constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus"
"DRS2","Deficiency of Ribosomal Subunits","4068","aminophospholipid-translocating P4-type ATPase DRS2|FUN38|SWA3","chrI","Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network; mutations in human homolog ATP8B1 result in liver disease"
"SAW1","Single-strand Annealing Weakened","786","DNA-binding protein SAW1","chrI","5'- and 3'-flap DNA binding protein; recruits Rad1p-Rad10p to single-strand annealing intermediates with 3' non-homologous tails for removal during double-strand break repair; complexes with Rad1p-Rad10p and stimulates its endonuclease activity; green fluorescent protein (GFP)-fusion protein localizes to the nucleus"
"FRT2","Functionally Related to TCP1","1587","HPH2","chrI","Tail-anchored ER membrane protein of unknown function; interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate; FRT2 has a paralog, FRT1, that arose from the whole genome duplication"
"MYO4","MYOsin","4416","FUN22|myosin 4|SHE1","chrI","Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog, MYO2, that arose from the whole genome duplication"
"SNC1","Suppressor of the Null allele of CAP","467","SNAP receptor SNC1","chrI","Vesicle membrane receptor protein (v-SNARE); involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins; SNC1 has a paralog, SNC2, that arose from the whole genome duplication"
"GIP4","Glc7 Interacting Protein","2283","FUN21|protein phosphatase regulator GIP4","chrI","Cytoplasmic protein that regulates protein phosphatase 1 Glc7p; protein overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate"
"PRP45","Pre-mRNA Processing","1140","FUN20|mRNA splicing protein PRP45","chrI","Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene"
"POP5","Processing Of Precursor RNAs","522","FUN53|RNA-binding protein POP5","chrI","Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs"
"MTW1","Mis TWelve-like","870","DSN3|MIND complex subunit MTW1|NSL2","chrI","Essential component of the MIND kinetochore complex; joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly; complex consists of Mtw1p Including Nnf1p-Nsl1p-Dsn1p (MIND)"
"FUN12","Function Unknown Now","3009","eIF5B|translation initiation factor eIF5B|yIF2","chrI","Translation initiation factor eIF5B; GTPase that promotes Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; promotes GTP-dependent maturation of 18S rRNA by Nob1p; protein abundance increases in response to DNA replication stress; homolog of bacterial IF2"
"RBG1","RiBosome interacting Gtpase","1110","FUN11|GTP-binding protein RBG1","chrI","Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid"
"","","804","","chrI","Putative protein of unknown function; YAL037W has a paralog, YOR342C, that arose from the whole genome duplication"
"CDC19","Cell Division Cycle","1503","PYK1|pyruvate kinase CDC19","chrI","Pyruvate kinase; functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration; regulated via allosteric activation by fructose bisphosphate; CDC19 has a paralog, PYK2, that arose from the whole genome duplication"
"CYC3","CYtochrome C","810","CCHL|holocytochrome c synthase CYC3","chrI","Cytochrome c heme lyase (holocytochrome c synthase); attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in mitochondrial intermembrane space; human homolog HCCS implicated in microphthalmia with linear skin defects (MLS), and can complement yeast null mutant"
"CLN3","CycLiN","1743","cyclin CLN3|DAF1|FUN10|WHI1","chrI","G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote G1 to S phase transition; plays a role in regulating transcription of other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetyl-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry; cell cycle arrest phenotype of the cln1 cln2 cln3 triple null mutant is complemented by any of human cyclins CCNA2, CCNB1, CCNC, CCND1, or CCNE1"
"CDC24","Cell Division Cycle","2565","CLS4|Rho family guanine nucleotide exchange factor CDC24","chrI","Guanine nucleotide exchange factor (GEF) for Cdc42p; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress; thermosensitivity of the cdc24-4 mutant in the presence of sorbitol is functionally complemented by human CDC42"
"ERV46","ER Vesicle","1248","FUN9","chrI","Protein localized to COPII-coated vesicles; forms a complex with Erv41p; involved in the membrane fusion stage of transport"
"PTA1","Pre-Trna Accumulation","2358","FUN39|RNA-processing protein PTA1","chrI","Subunit of holo-CPF; holo-CPF is a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII"
"GCV3","GlyCine cleaVage","513","glycine decarboxylase subunit H","chrI","H subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF"
"","","309","","chrI","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps YAL044W-A"
"BOL3","BolA-like protein","357","AIM1","chrI","Protein involved in Fe-S cluster transfer to mitochondrial clients; protects [4Fe-4S] clusters from damage due to oxidative stress by acting along with Nfu1p at a late step in the transfer of [4Fe-4S] clusters from the ISA complex to mitochondrial client proteins like lipoate synthase and succinate dehydrogenase; sequence similarity to human BOLA family member, BOLA3, mutations of which are associated with Multiple Mitochondria Dysfunctions Syndrome (MMDS2)"
"SPC72","Spindle Pole Component","1869","gamma-tubulin complex subunit SPC72|LDB4","chrI","Gamma-tubulin small complex (gamma-TuSC) receptor; recruits the gamma-TuSC complex to the cytoplasmic side of the SPB, connecting nuclear microtubules to the SPB; involved in astral microtubule formation, stabilization, and with Stu2p, anchoring astral MTs at the cytoplasmic face of the SPB, and regulating plus-end MT dynamics; regulated by Cdc5 kinase"
"GEM1","GTPase EF-hand protein of Mitochondria","1989","ERMES complex Ca(2+)-binding regulatory GTPase GEM1|GON1","chrI","Outer mitochondrial membrane GTPase, subunit of the ERMES complex; potential regulatory subunit of the ERMES complex that links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; ortholog of metazoan Miro GTPases"
"AIM2","Altered Inheritance rate of Mitochondria","741","protein AIM2","chrI","Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor"
"OAF1","Oleate-Activated transcription Factor","3144","oleate-activated transcription factor OAF1|YAF1","chrI","Oleate-activated transcription factor; subunit of a heterodimeric complex with Pip2p, which binds to oleate-response elements (ORE) in the promoter of genes involved in beta-oxidation of fatty acids, peroxisome organization and biogenesis, activating transcription in the presence of oleate; regulates chromatin silencing at telomeres; involved in diauxic shift; OAF1 has a paralog, PIP2, that arose from the whole genome duplication"
"FLC2","FLavin Carrier","2352","flavin adenine dinucleotide transporter FLC2|HUF2","chrI","Putative calcium channel involved in calcium release under hypotonic stress; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance; FLC2 has a paralog, YOR365C, that arose from the whole genome duplication"
"ACS1","Acetyl CoA Synthetase","2142","acetate--CoA ligase 1|FUN44","chrI","Acetyl-coA synthetase isoform; along with Acs2p, acetyl-coA synthetase isoform is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions"
"PEX22","PEroXisome related","543","ubiquitin-protein transferase activating protein PEX22|YAF5","chrI","Putative peroxisomal membrane protein; required for import of peroxisomal proteins; functionally complements a Pichia pastoris pex22 mutation"
"GPB2","","2643","KRH1","chrI","Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; GPB2 has a paralog, GPB1, that arose from the whole genome duplication"
"CNE1","CalNExin and calreticulin homolog","1509","calnexin|FUN48","chrI","Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast"
"ECM1","ExtraCellular Mutant","639","","chrI","Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm"
"BDH1","Butanediol DeHydrogenase","1149","BDH|(R,R)-butanediol dehydrogenase","chrI","NAD-dependent (R,R)-butanediol dehydrogenase; catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source"
"BDH2","","1254","putative dehydrogenase BDH2","chrI","Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3"
"GDH3","Glutamate DeHydrogenase","1374","FUN51|glutamate dehydrogenase (NADP(+)) GDH3","chrI","NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources; GDH3 has a paralog, GDH1, that arose from the whole genome duplication"
"FLO9","FLOcculation","3969","flocculin FLO9","chrI","Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation"
"","","285","","chrI","Protein of unknown function; may interact with ribosomes, based on co-purification experiments"
"","","309","","chrI","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
"SEO1","Suppressor of sulfoxyde EthiOnine resistance","1782","putative permease SEO1","chrI","Putative permease; member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide"
"NUP60","NUclear Pore","1620","FG-nucleoporin NUP60","chrI","FG-nucleoporin component of central core of the nuclear pore complex; contributes directly to nucleocytoplasmic transport and maintenance of the nuclear pore complex (NPC) permeability barrier and is involved in gene tethering at the nuclear periphery; relocalizes to the cytosol in response to hypoxia; both NUP1 and NUP60 are homologous to human NUP153"
"SWD1","Set1c, WD40 repeat protein","1281","COMPASS subunit protein SWD1|CPS50|FUN16|SAF49","chrI","Subunit of the COMPASS (Set1C) complex; COMPASS methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; WD40 beta propeller superfamily member with similarity to mammalian Rbbp7"
"RFA1","Replication Factor A","1866","BUF2|FUN3|replication factor A subunit protein RFA1|RPA1|RPA70","chrI","Subunit of heterotrimeric Replication Protein A (RPA); RPA is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination; RPA protects against inappropriate telomere recombination, and upon telomere uncapping, prevents cell proliferation by a checkpoint-independent pathway; role in DNA catenation/decatenation pathway of chromosome disentangling; relocalizes to the cytosol in response to hypoxia"
"SEN34","Splicing ENdonuclease","828","FUN4|tRNA splicing endonuclease subunit SEN34","chrI","Subunit of the tRNA splicing endonuclease; tRNA splicing endonuclease (Sen complex) is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen complex also cleaves the CBP1 mRNA at the mitochondrial surface; Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease"
"","","3591","truncated gag-pol fusion protein|YARCTyB1-1","chrI","Retrotransposon TYA Gag and TYB Pol genes; Gag processing produces capsid proteins, Pol is cleaved to produce protease, reverse transcriptase and integrase activities; in YARCTy1-1 TYB is mutant and probably non-functional; protein product forms cytoplasmic foci upon DNA replication stress"
"","","1323","gag protein|YARCTyA1-1","chrI","Retrotransposon TYA Gag gene co-transcribed with TYB Pol; Gag processing produces capsid proteins; in YARCTy1-1 TYB is mutant and probably non-functional"
"BUD14","BUD site selection","2130","protein phosphatase regulator BUD14","chrI","Protein involved in bud-site selection; Bud14p-Glc7p complex is a cortical regulator of dynein; forms a complex with Kel1p and Kel2p that regulates Bnr1p (formin) to affect actin cable assembly, cytokinesis, and polarized growth; diploid mutants display a random budding pattern instead of the wild-type bipolar pattern; relative distribution to the nucleus increases upon DNA replication stress"
"ADE1","ADEnine requiring","921","phosphoribosylaminoimidazolesuccinocarboxamide synthase","chrI","N-succinyl-5-aminoimidazole-4-carboxamide ribotide synthetase; required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine; protein abundance increases in response to DNA replication stress"
"KIN3","protein KINase","1308","FUN52|NPK1|serine/threonine protein kinase KIN3","chrI","Nonessential serine/threonine protein kinase; possible role in DNA damage response; influences tolerance to high levels of ethanol"
"CDC15","Cell Division Cycle","2925","LYT1|RLT1|serine/threonine protein kinase CDC15","chrI","Protein kinase of the Mitotic Exit Network; localized to the spindle pole bodies at late anaphase; promotes mitotic exit by directly switching on the kinase activity of Dbf2p; required for spindle disassembly after meiosis II; relocalizes to the cytoplasm upon DNA replication stress; phosphorylates C-terminal Domain of Polymerase II during mitosis"
"PAU7","seriPAUperin family","168","seripauperin PAU7","chrI","Member of the seripauperin multigene family; active during alcoholic fermentation, regulated by anaerobiosis, inhibited by oxygen, repressed by heme"
"","","540","DUP240 family protein","chrI","Putative integral membrane protein; member of DUP240 gene family"
"UIP3","Ulp1 Interacting Protein","708","DUP240 family protein UIP3","chrI","Putative integral membrane protein of unknown function; interacts with Ulp1p at the nuclear periphery; member of DUP240 gene family"
"","","705","DUP240 family protein","chrI","Putative integral membrane protein; member of DUP240 gene family; GFP-fusion protein is induced in response to the DNA-damaging agent MMS"
"","","225","DUP240 family protein","chrI","Member of DUP240 gene family but contains no transmembrane domains; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern"
"PRM9","Pheromone-Regulated Membrane protein","897","pheromone-regulated DUP240 family protein PRM9","chrI","Pheromone-regulated protein; contains 3 predicted transmembrane segments and an FF sequence, a motif involved in COPII binding; member of DUP240 gene family; PRM9 has a paralog, PRM8, that arose from a segmental duplication"
"MST28","Multicopy suppressor of Sec Twenty one","705","DUP240 family protein MST28","chrI","Putative integral membrane protein, involved in vesicle formation; forms complex with Mst27p; member of DUP240 gene family; binds COPI and COPII vesicles; MST28 has a paralog, MST27, that arose from a segmental duplication"
"YAT1","","2064","carnitine O-acetyltransferase YAT1","chrI","Outer mitochondrial carnitine acetyltransferase; minor ethanol-inducible enzyme involved in transport of activated acyl groups from the cytoplasm into the mitochondrial matrix; phosphorylated"
"SWH1","","3567","OSH1|oxysterol-binding protein related protein SWH1|YAR044W","chrI","Protein similar to mammalian oxysterol-binding protein; contains ankyrin repeats and FFAT motif; interacts with ER anchor Scs2p at the nucleus-vacuole junction; regulated by sterol binding; SWH1 has a paralog, OSH2, that arose from the whole genome duplication"
"","","321","","chrI","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
"FLO1","FLOcculation","4614","FLO2|FLO4|flocculin FLO1","chrI","Lectin-like protein involved in flocculation; cell wall protein that binds mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; important for co-flocculation with other yeasts, mediating interaction with specific species; FLO1 has a paralog, FLO5, that arose from a segmental duplication"
"","","297","","chrI","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
"","","336","","chrI","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; YAR060C has a paralog, YHR212C, that arose from a segmental duplication"
"","","1006","YAR062W","chrI","Pseudogenic fragment with similarity to flocculins; YAR061W has a paralog, YHR212W-A, that arose from a segmental duplication"
"","","300","","chrI","Pseudogenic fragment with similarity to flocculins; YAR064W has a paralog, YHR213W-B, that arose from a segmental duplication"
"","","486","","chrI","Fungal-specific protein of unknown function; induced in respiratory-deficient cells; YAR068W has a paralog, YHR214W-A, that arose from a segmental duplication"
"","","294","","chrI","Dubious open reading frame; unlikely to encode a protein, based on available experimental and comparative sequence data; YAR069C has a paralog, YHR214C-D, that arose from a segmental duplication"
"","","300","","chrI","Dubious open reading frame; unlikely to encode a protein, based on available experimental and comparative sequence data; YAR070C has a paralog, YHR214C-B, that arose from a segmental duplication"
"PHO11","PHOsphate metabolism","1404","acid phosphatase PHO11","chrI","One of three repressible acid phosphatases; glycoprotein that is transported to the cell surface by the secretory pathway; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2; PHO11 has a paralog, PHO12, that arose from a segmental duplication"
"IMD1","IMP Dehydrogenase","1212","IMP dehydrogenase","chrI","Nonfunctional protein with homology to IMP dehydrogenase; blocked reading frame, located close to the telomere; not expressed at detectable levels; YAR073W and YAR075W comprise a continuous reading frame in most strains of S. cerevisiae; YAR073W/YAR075W together have a paralog, IMD2, that arose from a segmental duplication"
"ECM15","ExtraCellular Mutant","315","","chrII","Non-essential protein of unknown function; likely exists as tetramer, may be regulated by the binding of small-molecule ligands (possibly sulfate ions), may have a role in yeast cell-wall biogenesis"
"HTB2","Histone h Two B","396","histone H2B","chrII","Histone H2B; core histone protein required for chromatin assembly and chromosome function; nearly identical to HTB1; Rad6p-Bre1p-Lge1p mediated ubiquitination regulates reassembly after DNA replication, transcriptional activation, meiotic DSB formation and H3 methylation"
"HTA2","Histone h Two A","399","H2A2|histone H2A","chrII","Histone H2A; core histone protein required for chromatin assembly and chromosome function; one of two nearly identical (see also HTA1) subtypes; DNA damage-dependent phosphorylation by Mec1p facilitates DNA repair; acetylated by Nat4p"
"UTP20","U Three Protein","7482","","chrII","Component of the small-subunit (SSU) processome; SSU processome is involved in the biogenesis of the 18S rRNA"
"PDR3","Pleiotropic Drug Resistance","2931","AMY2|drug-responsive transcription factor PDR3|TPE2","chrII","Transcriptional activator of the pleiotropic drug resistance network; regulates expression of ATP-binding cassette (ABC) transporters through binding to cis-acting PDRE sites (PDR responsive elements); has a role in response to drugs and organic solvents; post-translationally up-regulated in cells lacking functional mitochondrial genome; involved in diauxic shift; relative distribution to nucleus increases upon DNA replication stress; APCC(Cdh1) substrate"
"LDB7","Low Dye Binding","543","RSC14","chrII","Component of the RSC chromatin remodeling complex; interacts with Rsc3p, Rsc30p, Npl6p, and Htl1p to form a module important for a broad range of RSC functions"
"SLA1","Synthetic Lethal with ABP1","3735","cytoskeletal protein-binding protein SLA1","chrII","Cytoskeletal protein binding protein; required for assembly of the cortical actin cytoskeleton; interacts with proteins regulating actin dynamics and proteins required for endocytosis; found in the nucleus and cell cortex; has 3 SH3 domains"
"HIR1","HIstone Regulation","2523","","chrII","Subunit of the HIR complex; HIR is a nucleosome assembly complex involved in regulation of histone gene transcription; contributes to nucleosome formation, heterochromatic gene silencing, and formation of functional kinetochores"
"ALK2","","2031","protein kinase ALK2","chrII","Protein kinase; along with its paralog, ALK1, required for proper spindle positioning and nuclear segregation following mitotic arrest, proper organization of cell polarity factors in mitosis, proper localization of formins and polarity factors, and survival in cells that activate spindle assembly checkpoint; phosphorylated in response to DNA damage; ALK2 has a paralog, ALK1, that arose from the whole genome duplication; similar to mammalian haspins"
"LAA2","Large Adaptin Accessory","843","","chrII","Clathrin adaptor (adaptin) accessory protein; physically interacts with and is involved in localization of clathrin adaptor protein complex-1 (AP-1); green fluorescent protein (GFP)-fusion protein colocalizes with clathrin-coated vesicles"
"SCT1","Suppressor of Choline-Transport mutants","2280","bifunctional glycerol-3-phosphate/glycerone-phosphate O-acyltransferase SCT1|GAT2","chrII","Glycerol 3-phosphate/dihydroxyacetone phosphate sn-1 acyltransferase; dual substrate-specific acyltransferase of the glycerolipid biosynthesis pathway; prefers 16-carbon fatty acids; similar to Gpt2p; gene is constitutively transcribed"
"","","402","","chrII","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
"FMT1","Formyl-Methionyl-tRNA Transformylase","1206","methionyl-tRNA formyltransferase","chrII","Methionyl-tRNA formyltransferase; catalyzes the formylation of initiator Met-tRNA in mitochondria; potential Cdc28p substrate"
